pair_id,Alice_basis,Alice_outcome
0,45.0,-1
1,45.0,1
2,45.0,-1
3,0.0,-1
4,45.0,-1
5,0.0,1
6,45.0,1
7,45.0,-1
8,0.0,-1
9,0.0,1
10,0.0,1
11,0.0,1
12,0.0,1
13,45.0,1
14,0.0,-1
15,0.0,1
16,45.0,1
17,0.0,1
18,0.0,1
19,0.0,1
20,45.0,1
21,0.0,-1
22,45.0,-1
23,45.0,-1
24,0.0,1
25,45.0,1
26,0.0,1
27,0.0,1
28,0.0,-1
29,0.0,-1
30,45.0,-1
31,0.0,-1
32,0.0,1
33,0.0,-1
34,0.0,-1
35,45.0,-1
36,0.0,-1
37,0.0,-1
38,45.0,-1
39,0.0,1
40,45.0,1
41,0.0,1
42,45.0,-1
43,45.0,1
44,45.0,-1
45,45.0,1
46,0.0,1
47,0.0,-1
48,45.0,-1
49,45.0,-1
50,0.0,1
51,0.0,-1
52,0.0,1
53,0.0,1
54,45.0,-1
55,0.0,-1
56,0.0,-1
57,0.0,-1
58,45.0,-1
59,45.0,-1
60,0.0,1
61,0.0,1
62,0.0,1
63,0.0,1
64,0.0,-1
65,0.0,-1
66,0.0,1
67,0.0,1
68,45.0,-1
69,0.0,-1
70,0.0,1
71,0.0,1
72,45.0,1
73,0.0,-1
74,0.0,-1
75,0.0,1
76,45.0,-1
77,0.0,-1
78,45.0,1
79,45.0,-1
80,0.0,-1
81,0.0,-1
82,45.0,-1
83,45.0,-1
84,0.0,1
85,0.0,-1
86,45.0,1
87,0.0,-1
88,0.0,1
89,45.0,1
90,45.0,1
91,45.0,-1
92,45.0,1
93,0.0,1
94,45.0,-1
95,45.0,1
96,0.0,-1
97,45.0,-1
98,0.0,1
99,0.0,1
100,0.0,1
101,45.0,1
102,0.0,-1
103,0.0,-1
104,45.0,-1
105,0.0,1
106,45.0,-1
107,0.0,-1
108,0.0,-1
109,0.0,1
110,45.0,1
111,45.0,1
112,45.0,-1
113,45.0,-1
114,45.0,1
115,0.0,-1
116,45.0,1
117,45.0,-1
118,45.0,-1
119,45.0,1
120,45.0,-1
121,0.0,1
122,45.0,1
123,0.0,-1
124,0.0,-1
125,0.0,1
126,0.0,-1
127,45.0,-1
128,0.0,1
129,0.0,-1
130,45.0,-1
131,45.0,1
132,0.0,1
133,45.0,1
134,45.0,1
135,45.0,-1
136,45.0,1
137,45.0,-1
138,0.0,1
139,45.0,-1
140,45.0,1
141,0.0,1
142,45.0,-1
143,45.0,1
144,45.0,1
145,45.0,1
146,0.0,-1
147,45.0,-1
148,0.0,-1
149,0.0,1
150,45.0,-1
151,45.0,-1
152,0.0,-1
153,0.0,-1
154,0.0,1
155,0.0,1
156,45.0,-1
157,45.0,1
158,45.0,-1
159,0.0,1
160,0.0,1
161,45.0,-1
162,0.0,1
163,0.0,1
164,45.0,1
165,45.0,-1
166,45.0,-1
167,0.0,-1
168,0.0,1
169,45.0,1
170,45.0,1
171,45.0,-1
172,45.0,1
173,45.0,1
174,0.0,-1
175,45.0,1
176,0.0,1
177,0.0,1
178,0.0,1
179,45.0,1
