pair_id,Bob_basis,Bob_outcome
0,-22.5,-1
1,-22.5,-1
2,22.5,-1
3,-22.5,-1
4,-22.5,-1
5,-22.5,1
6,22.5,1
7,22.5,-1
8,-22.5,-1
9,-22.5,1
10,22.5,1
11,22.5,1
12,22.5,1
13,22.5,1
14,-22.5,-1
15,22.5,1
16,-22.5,1
17,-22.5,-1
18,-22.5,1
19,22.5,1
20,-22.5,-1
21,-22.5,-1
22,-22.5,1
23,22.5,-1
24,-22.5,1
25,22.5,-1
26,22.5,1
27,22.5,-1
28,-22.5,-1
29,-22.5,-1
30,-22.5,1
31,22.5,-1
32,22.5,1
33,22.5,1
34,22.5,-1
35,-22.5,1
36,22.5,-1
37,22.5,-1
38,22.5,-1
39,22.5,1
40,22.5,-1
41,22.5,1
42,-22.5,1
43,-22.5,-1
44,22.5,1
45,-22.5,-1
46,-22.5,1
47,22.5,-1
48,22.5,1
49,-22.5,-1
50,22.5,1
51,22.5,-1
52,22.5,1
53,-22.5,1
54,22.5,-1
55,-22.5,-1
56,22.5,-1
57,-22.5,-1
58,22.5,-1
59,-22.5,1
60,22.5,1
61,-22.5,1
62,22.5,1
63,22.5,1
64,-22.5,-1
65,22.5,1
66,22.5,1
67,22.5,-1
68,-22.5,1
69,-22.5,-1
70,22.5,1
71,-22.5,1
72,22.5,1
73,22.5,-1
74,22.5,-1
75,22.5,1
76,22.5,-1
77,22.5,-1
78,22.5,1
79,22.5,-1
80,-22.5,-1
81,-22.5,1
82,22.5,-1
83,22.5,-1
84,-22.5,1
85,-22.5,-1
86,22.5,1
87,22.5,-1
88,-22.5,1
89,22.5,1
90,-22.5,1
91,22.5,-1
92,22.5,1
93,22.5,-1
94,-22.5,-1
95,22.5,1
96,22.5,-1
97,22.5,1
98,-22.5,1
99,22.5,1
100,22.5,1
101,-22.5,-1
102,22.5,-1
103,-22.5,-1
104,22.5,-1
105,22.5,1
106,-22.5,1
107,22.5,-1
108,-22.5,-1
109,-22.5,1
110,22.5,1
111,-22.5,-1
112,22.5,-1
113,-22.5,1
114,22.5,1
115,-22.5,-1
116,22.5,-1
117,-22.5,1
118,22.5,-1
119,-22.5,-1
120,-22.5,1
121,-22.5,1
122,22.5,1
123,-22.5,-1
124,22.5,-1
125,-22.5,1
126,22.5,1
127,-22.5,1
128,22.5,1
129,22.5,-1
130,-22.5,1
131,-22.5,-1
132,22.5,1
133,22.5,1
134,22.5,1
135,-22.5,1
136,22.5,1
137,-22.5,-1
138,-22.5,1
139,-22.5,1
140,-22.5,-1
141,22.5,1
142,-22.5,1
143,22.5,1
144,-22.5,-1
145,-22.5,1
146,22.5,1
147,-22.5,-1
148,-22.5,-1
149,22.5,1
150,22.5,-1
151,-22.5,1
152,22.5,1
153,-22.5,-1
154,22.5,1
155,22.5,1
156,-22.5,1
157,-22.5,-1
158,22.5,-1
159,22.5,-1
160,22.5,1
161,22.5,-1
162,-22.5,1
163,22.5,1
164,-22.5,-1
165,-22.5,-1
166,-22.5,1
167,22.5,-1
168,-22.5,1
169,22.5,-1
170,22.5,1
171,-22.5,1
172,-22.5,-1
173,-22.5,1
174,-22.5,-1
175,-22.5,-1
176,-22.5,1
177,-22.5,1
178,-22.5,-1
179,-22.5,-1
180,-22.5,1
181,-22.5,-1
182,-22.5,1
183,-22.5,1
184,-22.5,1
185,22.5,1
186,-22.5,1
187,22.5,-1
188,-22.5,-1
189,-22.5,-1
190,-22.5,1
191,22.5,1
192,-22.5,-1
193,-22.5,1
194,22.5,1
195,22.5,1
196,-22.5,1
197,22.5,1
198,-22.5,1
199,22.5,1
200,22.5,1
201,-22.5,1
202,22.5,-1
203,22.5,1
204,-22.5,-1
205,22.5,-1
206,22.5,-1
207,-22.5,1
208,-22.5,-1
209,-22.5,1
210,-22.5,1
211,-22.5,1
212,22.5,1
213,-22.5,-1
214,-22.5,-1
215,-22.5,1
216,-22.5,1
217,-22.5,-1
218,22.5,-1
219,22.5,-1
220,22.5,-1
221,22.5,1
222,22.5,-1
223,22.5,1
224,22.5,1
225,22.5,-1
226,22.5,-1
227,-22.5,-1
228,22.5,1
229,-22.5,1
230,-22.5,1
231,-22.5,1
232,22.5,1
233,22.5,-1
234,22.5,1
235,22.5,1
236,-22.5,1
237,-22.5,-1
238,-22.5,1
239,-22.5,-1
240,-22.5,-1
241,-22.5,1
242,22.5,1
243,22.5,-1
244,-22.5,1
245,22.5,1
246,22.5,1
247,-22.5,1
248,-22.5,1
249,22.5,-1
250,-22.5,-1
251,-22.5,-1
252,-22.5,-1
253,22.5,-1
254,-22.5,1
255,-22.5,-1
256,-22.5,-1
257,-22.5,-1
258,22.5,1
259,-22.5,-1
260,22.5,-1
261,22.5,1
262,-22.5,-1
263,22.5,-1
264,-22.5,1
265,-22.5,-1
266,-22.5,-1
267,-22.5,1
268,-22.5,-1
269,22.5,-1
270,-22.5,1
271,-22.5,1
272,22.5,-1
